file_name,Abstand_M-O_H2O,Abstand_M-N_NH3,Abstand_M-O_Pyridin,Abstand_M-O_Furane,Abstand_M-N_Methylenimin,Abstand_M-N_Methylformiat,Ionenradius,HF_M-H2O,ZPE_M-H2O
Li,2.11,2.13,2.07,1.97,2.08,1.95,0.92,-466.11174,89.62
Na,2.40,2.67,2.62,2.43,2.58,2.38,1.18,-458.78237,88.42
K,2.76,3.01,2.95,2.81,2.96,2.79,1.51,-486.71257,88.22
Rb,2.97,3.21,3.16,3.04,3.16,3.0,1.61,-482.43317,87.81
Cs,3.20,3.45,3.39,3.2,3.4,3.24,1.74,-478.43933,86.55
Be,1.85,1.77,1.75,1.65,1.74,1.63,0.45,-472.98765,97.58
Mg,2.10,2.29,2.31,2.14,2.24,2.07,0.89,-459.15413,95.41
Ca,2.43,2.63,2.61,2.47,2.59,2.4,1.12,-494.89943,94.24
Sr,2.60,2.8,2.75,2.63,2.76,2.56,1.26,-488.77846,93.21
Ba,2.80,3.0,2.95,2.83,2.96,2.76,1.42,-483.56349,91.22
